ZIP_CODE	STATE_ABBREV	COUNTY_NAME	CITY_NAME	STATE_SALES_TAX	STATE_USE_TAX	COUNTY_SALES_TAX	COUNTY_USE_TAX	CITY_SALES_TAX	CITY_USE_TAX	TOTAL_SALES_TAX	TOTAL_USE_TAX	TAX_SHIPPING_ALONE	TAX_SHIPPING_AND_HANDLING_TOGETHER
35004	AL	SAINT CLAIR	MOODY	0.040000	0.040000	0.020000	0.020000	0.030000	0.030000	0.090000	0.090000	N	Y
35005	AL	JEFFERSON	ADAMSVILLE	0.040000	0.040000	0.020000	0.020000	0.035000	0.035000	0.095000	0.095000	N	Y
35006	AL	JEFFERSON	ADGER	0.040000	0.040000	0.020000	0.020000	0.000000	0.000000	0.060000	0.060000	N	Y
35007	AL	SHELBY	ALABASTER	0.040000	0.040000	0.010000	0.010000	0.040000	0.040000	0.090000	0.090000	N	Y
35010	AL	TALLAPOOSA	ALEXANDER CITY	0.040000	0.040000	0.010000	0.001000	0.035000	0.035000	0.085000	0.076000	N	Y
35011	AL	TALLAPOOSA	ALEXANDER CITY	0.040000	0.040000	0.010000	0.001000	0.035000	0.035000	0.085000	0.076000	N	Y
35013	AL	BLOUNT	ALLGOOD	0.040000	0.040000	0.020000	0.020000	0.010000	0.000000	0.070000	0.060000	N	Y
35014	AL	TALLADEGA	ALPINE	0.040000	0.040000	0.030000	0.030000	0.000000	0.000000	0.070000	0.070000	N	Y
35015	AL	JEFFERSON	ALTON	0.040000	0.040000	0.020000	0.020000	0.000000	0.000000	0.060000	0.060000	N	Y
35016	AL	MARSHALL	ARAB	0.040000	0.040000	0.000000	0.000000	0.040000	0.040000	0.080000	0.080000	N	Y
35019	AL	CULLMAN	BAILEYTON	0.040000	0.040000	0.045000	0.045000	0.000000	0.000000	0.085000	0.085000	N	Y
35020	AL	JEFFERSON	BESSEMER	0.040000	0.040000	0.020000	0.020000	0.040000	0.040000	0.100000	0.100000	N	Y
35021	AL	JEFFERSON	BESSEMER	0.040000	0.040000	0.020000	0.020000	0.040000	0.040000	0.100000	0.100000	N	Y
35022	AL	JEFFERSON	BESSEMER	0.040000	0.040000	0.020000	0.020000	0.040000	0.040000	0.100000	0.100000	N	Y
35023	AL	JEFFERSON	BESSEMER	0.040000	0.040000	0.020000	0.020000	0.040000	0.040000	0.100000	0.100000	N	Y
35031	AL	BLOUNT	BLOUNTSVILLE	0.040000	0.040000	0.020000	0.020000	0.020000	0.020000	0.080000	0.080000	N	Y
35032	AL	TALLADEGA	BON AIR	0.040000	0.040000	0.030000	0.030000	0.000000	0.000000	0.070000	0.070000	N	Y
35033	AL	CULLMAN	BREMEN	0.040000	0.040000	0.045000	0.045000	0.000000	0.000000	0.085000	0.085000	N	Y
35034	AL	BIBB	BRENT	0.040000	0.040000	0.040000	0.020000	0.010000	0.010000	0.090000	0.070000	N	Y
35035	AL	BIBB	BRIERFIELD	0.040000	0.040000	0.040000	0.020000	0.000000	0.000000	0.080000	0.060000	N	Y
35036	AL	JEFFERSON	BROOKSIDE	0.040000	0.040000	0.020000	0.020000	0.020000	0.020000	0.080000	0.080000	N	Y
35038	AL	WALKER	BURNWELL	0.040000	0.040000	0.020000	0.020000	0.000000	0.000000	0.060000	0.060000	N	Y
35040	AL	SHELBY	CALERA	0.040000	0.040000	0.010000	0.010000	0.030000	0.030000	0.080000	0.080000	N	Y
35042	AL	BIBB	CENTREVILLE	0.040000	0.040000	0.040000	0.020000	0.010000	0.000000	0.090000	0.060000	N	Y
35043	AL	SHELBY	CHELSEA	0.040000	0.040000	0.010000	0.010000	0.030000	0.030000	0.080000	0.080000	N	Y
35044	AL	TALLADEGA	CHILDERSBURG	0.040000	0.040000	0.010000	0.010000	0.030000	0.030000	0.080000	0.080000	N	Y
35045	AL	CHILTON	CLANTON	0.040000	0.040000	0.010000	0.010000	0.030000	0.030000	0.080000	0.080000	N	Y
35046	AL	CHILTON	CLANTON	0.040000	0.040000	0.010000	0.010000	0.030000	0.030000	0.080000	0.080000	N	Y
35048	AL	JEFFERSON	CLAY	0.040000	0.040000	0.020000	0.020000	0.020000	0.020000	0.080000	0.080000	N	Y
35049	AL	BLOUNT	CLEVELAND	0.040000	0.040000	0.020000	0.020000	0.020000	0.020000	0.080000	0.080000	N	Y
35051	AL	SHELBY	COLUMBIANA	0.040000	0.040000	0.010000	0.010000	0.030000	0.030000	0.080000	0.080000	N	Y
35052	AL	SAINT CLAIR	COOK SPRINGS	0.040000	0.040000	0.020000	0.020000	0.000000	0.000000	0.060000	0.060000	N	Y
35053	AL	CULLMAN	CRANE HILL	0.040000	0.040000	0.045000	0.045000	0.000000	0.000000	0.085000	0.085000	N	Y
35054	AL	SAINT CLAIR	CROPWELL	0.040000	0.040000	0.020000	0.020000	0.000000	0.000000	0.060000	0.060000	N	Y
35055	AL	CULLMAN	CULLMAN	0.040000	0.040000	0.045000	0.045000	0.005000	0.005000	0.090000	0.090000	N	Y
35056	AL	CULLMAN	CULLMAN	0.040000	0.040000	0.045000	0.045000	0.005000	0.005000	0.090000	0.090000	N	Y
35057	AL	CULLMAN	CULLMAN	0.040000	0.040000	0.045000	0.045000	0.005000	0.005000	0.090000	0.090000	N	Y
35058	AL	CULLMAN	CULLMAN	0.040000	0.040000	0.045000	0.045000	0.005000	0.005000	0.090000	0.090000	N	Y
35060	AL	JEFFERSON	DOCENA	0.040000	0.040000	0.020000	0.020000	0.000000	0.000000	0.060000	0.060000	N	Y
35061	AL	JEFFERSON	DOLOMITE	0.040000	0.040000	0.020000	0.020000	0.000000	0.000000	0.060000	0.060000	N	Y
35062	AL	JEFFERSON	DORA	0.040000	0.040000	0.020000	0.020000	0.000000	0.000000	0.060000	0.060000	N	Y
35063	AL	WALKER	EMPIRE	0.040000	0.040000	0.020000	0.020000	0.000000	0.000000	0.060000	0.060000	N	Y
35064	AL	JEFFERSON	FAIRFIELD	0.040000	0.040000	0.020000	0.020000	0.040000	0.040000	0.100000	0.100000	N	Y
35068	AL	JEFFERSON	FULTONDALE	0.040000	0.040000	0.020000	0.020000	0.040000	0.040000	0.100000	0.100000	N	Y
35070	AL	CULLMAN	GARDEN CITY	0.040000	0.040000	0.045000	0.045000	0.000000	0.000000	0.085000	0.085000	N	Y
35071	AL	JEFFERSON	GARDENDALE	0.040000	0.040000	0.020000	0.020000	0.040000	0.040000	0.100000	0.100000	N	Y
35072	AL	COOSA	GOODWATER	0.040000	0.040000	0.020000	0.020000	0.030000	0.030000	0.090000	0.090000	N	Y
35073	AL	JEFFERSON	GRAYSVILLE	0.040000	0.040000	0.020000	0.020000	0.030000	0.030000	0.090000	0.090000	N	Y
